Timestamp,[Admin only] Participant ID,[Admin only] Method Type (A/B),[Admin only] Task (0/1/2/3),Age,Gender,Do you have a technical background?,The robot accomplished the task in the way I wanted.,The robot was NOT able to complete the task correctly.,I felt the robot understood how I wanted the task done.,I felt the robot did NOT know how I wanted the task done.,The robot wrongly updated its understanding about aspects of the task I did not want to change.,I had to undo corrections that I gave the robot.,"[Only for tasks 2 and 4] After I adjusted the robot, it continued to do the other parts of the task correctly.","[Only for tasks 2 and 4] After I adjusted the robot, it incorrectly updated parts of the task that were already correct. ",Any overall comments?
2018/06/10 1:14:03 PM MDT,0,A,0,25-34,Female,No,5,5,6,3,6,5,,,hard to keep the cup level
2018/06/10 1:18:31 PM MDT,0,B,0,25-34,Female,No,6,6,5,2,6,2,,,cup still not level during part of the movement
2018/06/10 1:24:16 PM MDT,0,A,1,25-34,Female,No,5,3,4,4,6,5,3,6,
2018/06/10 1:28:04 PM MDT,0,B,1,25-34,Female,No,5,3,5,4,5,5,5,5,
2018/06/10 1:34:55 PM MDT,0,A,2,25-34,Female,No,5,2,6,2,3,3,,,
2018/06/10 1:38:14 PM MDT,0,B,2,25-34,Female,No,6,2,5,2,2,4,,,
2018/06/10 1:43:39 PM MDT,0,A,3,25-34,Female,No,3,4,3,5,3,6,5,3,
2018/06/10 1:47:50 PM MDT,0,B,3,25-34,Female,No,5,2,5,2,3,5,5,3,
2018/06/10 2:14:01 PM MDT,1,B,0,18-24,Female,Yes,7,1,5,3,1,1,,,
2018/06/10 2:17:41 PM MDT,1,A,0,18-24,Female,Yes,5,3,3,5,3,3,,,
2018/06/10 2:23:08 PM MDT,1,B,1,18-24,Female,Yes,2,6,2,6,7,5,3,6,
2018/06/10 2:27:30 PM MDT,1,A,1,18-24,Female,Yes,1,7,1,7,7,5,1,7,
2018/06/10 2:32:25 PM MDT,1,B,2,18-24,Female,Yes,7,1,6,2,1,1,,,
2018/06/10 2:36:22 PM MDT,1,A,2,18-24,Female,Yes,7,1,6,2,1,1,,,
2018/06/10 2:41:38 PM MDT,1,B,3,18-24,Female,Yes,2,6,2,6,1,1,7,2,
2018/06/10 2:46:36 PM MDT,1,A,3,18-24,Female,Yes,1,7,1,7,5,3,1,7,
2018/06/10 3:10:34 PM MDT,2,B,0,18-24,Male,Yes,6,2,5,5,3,1,,,
2018/06/10 3:15:27 PM MDT,2,A,0,18-24,Male,Yes,4,2,3,5,5,1,,,
2018/06/10 3:20:44 PM MDT,2,B,1,18-24,Male,Yes,3,4,4,4,5,1,3,4,
2018/06/10 3:27:00 PM MDT,2,A,1,18-24,Male,Yes,2,5,2,6,5,6,3,6,This was much more unstable and jerky than Method B.
2018/06/10 3:31:57 PM MDT,2,B,2,18-24,Male,Yes,7,2,7,3,2,2,,,"Very smooth, positive experience"
2018/06/10 3:36:37 PM MDT,2,A,2,18-24,Male,Yes,5,2,5,2,5,5,,,"Not as bad as method A with putting the cup on the table, but not as good as method B when keeping the cup upright."
2018/06/10 3:41:05 PM MDT,2,B,3,18-24,Male,Yes,4,5,2,6,5,7,2,6,
